data_mode,data_source,data_dir,scale_factor,expected_scale_factor,query_id,query_type,n_private_entities,n_join_rows,n_projection_keys,true_answer,max_contribution,mean_contribution,median_contribution,p90,p95,p99,gini,top1_share,top10_share,dsq,isq_proxy,row_count_region,row_count_nation,row_count_supplier,row_count_customer,row_count_orders,row_count_lineitem,row_count_part,row_count_partsupp
real,real_tpch,C:\r2t-tpch-dp\data\raw\sf0.1,0.1,0.1,q5_sja_revenue,SJA,655,865,0,30276617.676199995,210018.2632,46223.84378045801,41305.5072,84926.83376000001,112984.77584999996,168615.72900000046,0.3770675231793285,0.00693664878442126,0.05953169437142425,210018.2632,,5,25,1000,15000,150000,600572,20000,80000
real,real_tpch,C:\r2t-tpch-dp\data\raw\sf0.1,0.1,0.1,q7_sja_revenue,SJA,492,643,0,21652145.539499998,550862.0684999999,88016.85178658536,53568.1936,226746.5154700001,302529.30526,458367.5568029995,0.5144022742951139,0.012720727086723633,0.10898393422467689,550862.0684999999,,5,25,1000,15000,150000,600572,20000,80000
real,real_tpch,C:\r2t-tpch-dp\data\raw\sf0.1,0.1,0.1,q12_sja_count,SJA,2950,3155,0,3155.0,3.0,1.0694915254237287,1.0,1.0,2.0,2.0,0.06079959171613524,0.0009508716323296355,0.008874801901743265,3.0,,5,25,1000,15000,150000,600572,20000,80000
real,real_tpch,C:\r2t-tpch-dp\data\raw\sf0.1,0.1,0.1,q3_spja_order_count,SPJA,904,3321,1216,1216.0,15.0,3.6736725663716814,3.0,7.0,9.0,11.0,0.369012359002646,0.004516711833785004,0.036735922914784704,,15.0,5,25,1000,15000,150000,600572,20000,80000
real,real_tpch,C:\r2t-tpch-dp\data\raw\sf0.1,0.1,0.1,q10_spja_customer_count,SPJA,3767,11439,3767,3767.0,15.0,3.036633926201221,3.0,6.0,7.0,9.0,0.33178968284883115,0.0013113034356150013,0.011189789317248011,,15.0,5,25,1000,15000,150000,600572,20000,80000
