data_mode,data_source,scale_factor,query_id,query_type,mechanism,epsilon,gsq,n_runs,n_total,n_valid,n_ok,n_success,n_not_applicable,n_failed,mean_abs_error,median_abs_error,trimmed_mean_abs_error,mean_rel_error,median_rel_error,rmse,bias,std_error,p90_abs_error,p95_abs_error,mean_runtime_sec,timeout_rate
real,real_tpch,0.1,q5_sja_revenue,SJA,FixedTau,0.2,,60,60,60,60,0,0,0,21209453.33998339,27050678.201422952,24471122.768082764,0.7005225473602299,0.8934511275573258,23923704.801443417,-21157595.392687317,11166906.851314886,30192278.10569574,30192689.673137587,0.014510821673805619,0.0
real,real_tpch,0.1,q5_sja_revenue,SJA,FixedTau,0.5,,60,60,60,60,0,0,0,21200411.748629868,27040042.787649177,24477711.666286435,0.7002239145522255,0.893099852725787,23929640.243352223,-21198474.85568492,11101907.312221471,30192577.847998295,30192742.47497503,0.01322003500487573,0.0
real,real_tpch,0.1,q5_sja_revenue,SJA,FixedTau,1.0,,60,60,60,60,0,0,0,21212101.34335079,27036497.64972459,24479907.965687662,0.7006100077032488,0.8929827611152741,23931913.262666687,-21212101.34335079,11080759.405889878,30192677.762099147,30192760.075587515,0.013765456682691924,0.0
real,real_tpch,0.1,q5_sja_revenue,SJA,FixedTau,2.0,,60,60,60,60,0,0,0,21218914.58718373,27034725.080762297,24481006.115388274,0.7008350408924177,0.8929242153100176,23933104.97567922,-21218914.58718373,11070283.533798171,30192727.71914957,30192768.875893753,0.012771058353731206,0.0
real,real_tpch,0.1,q5_sja_revenue,SJA,FixedTau,5.0,,60,60,60,60,0,0,0,21223002.533483494,27033661.539384916,24481665.00520865,0.7009700608059196,0.8928890878268637,23933837.665428173,-21223002.533483494,11064029.503703503,30192757.69337983,30192774.1560775,0.014280994984437663,0.0
real,real_tpch,0.1,q5_sja_revenue,SJA,R2T,0.1,524288.0,10,10,10,10,0,0,0,28377852.51736504,30180725.58485742,29926051.119470794,0.9372860872657004,0.996832800401679,28581445.640166815,-28377852.51736504,3405366.5565529927,30276000.08377209,30276308.879986044,0.08554512999544381,0.0
real,real_tpch,0.1,q5_sja_revenue,SJA,R2T,0.2,524288.0,10,10,10,10,0,0,0,25371445.616751008,27117308.593434498,26818119.272079557,0.8379881097714268,0.8956518486789562,25738712.105659086,-25371445.616751008,4332556.771035739,28951108.964341085,29188966.42623486,0.09053454000386404,0.0
real,real_tpch,0.1,q5_sja_revenue,SJA,R2T,0.5,524288.0,10,10,10,10,0,0,0,16232799.636238497,15581544.636057086,16009896.048911957,0.5361497050246423,0.5146395414011358,16319687.078972772,-16232799.636238497,1681785.4575795557,18443890.519459743,18720095.251484137,0.09209652999707027,0.0
real,real_tpch,0.1,q5_sja_revenue,SJA,R2T,1.0,524288.0,10,10,10,10,0,0,0,10806924.899325032,10332244.000008777,10490797.747916795,0.3569396362203362,0.34126150121883664,10974998.482220082,-10806924.899325032,1913365.0736547406,13331313.863679953,14040265.947464496,0.09087070001696697,0.0
real,real_tpch,0.1,q5_sja_revenue,SJA,R2T,2.0,524288.0,10,10,10,10,0,0,0,6428743.904252534,6354278.724813076,6310129.616775581,0.21233362236846132,0.2098741277103776,6591823.783990118,-6428743.904252534,1457186.540122331,8620218.263274455,8635464.769530296,0.09048447002423922,0.0
real,real_tpch,0.1,q5_sja_revenue,SJA,R2T,5.0,524288.0,10,10,10,10,0,0,0,2965165.6987970616,2846869.3136652447,2888554.804385439,0.09793583056432137,0.09402864428621845,3047922.755686832,-2965165.6987970616,705425.7603114198,3923866.396388196,4035596.758731248,0.09976487997919314,0.0
real,real_tpch,0.1,q7_sja_revenue,SJA,DirectLaplace,0.1,524288.0,10,10,10,10,0,0,0,4530539.221931687,3813566.022589864,3844689.325941401,0.20924204548997807,0.17612878204761634,5635154.799498402,2453366.746347247,5073062.312078119,8999829.226973224,10166946.225970494,0.00895729002368165,0.0
real,real_tpch,0.1,q7_sja_revenue,SJA,DirectLaplace,0.2,524288.0,10,10,10,10,0,0,0,2265269.610965842,1906783.0112949312,1922344.6629707,0.10462102274498897,0.0880643910238081,2817577.3997492003,1226683.3731736236,2536531.156039059,4499914.613486614,5083473.112985246,0.00992187000520058,0.0
real,real_tpch,0.1,q7_sja_revenue,SJA,DirectLaplace,0.5,524288.0,10,10,10,10,0,0,0,906107.8443863377,762713.2045179736,768937.8651882807,0.04184840909799561,0.03522575640952325,1127030.959899681,490673.3492694497,1014612.4624156242,1799965.8453946444,2033389.2451940991,0.00834561998781279,0.0
real,real_tpch,0.1,q7_sja_revenue,SJA,DirectLaplace,1.0,524288.0,10,10,10,10,0,0,0,453053.9221931685,381356.60225898586,384468.93259414035,0.02092420454899774,0.01761287820476155,563515.4799498399,245336.67463472448,507306.2312078118,899982.922697322,1016694.6225970485,0.00836604001815425,0.0
real,real_tpch,0.1,q7_sja_revenue,SJA,DirectLaplace,2.0,524288.0,10,10,10,10,0,0,0,226526.96109658442,190678.301129492,192234.46629706956,0.010462102274498859,0.0088064391023807,281757.7399749203,122668.3373173628,253653.11560390596,449991.46134866285,508347.3112985261,0.00807216000393958,0.0
real,real_tpch,0.1,q7_sja_revenue,SJA,DirectLaplace,5.0,524288.0,10,10,10,10,0,0,0,90610.7844386328,76271.32045179605,76893.78651882708,0.00418484090979946,0.0035225756409522,112703.09598996735,49067.3349269446,101461.24624156179,179996.5845394637,203338.92451940937,0.0076406800042604596,0.0
real,real_tpch,0.1,q7_sja_revenue,SJA,FixedTau,0.1,,60,60,60,60,0,0,0,19139503.21192464,21252396.9187459,20760575.050732188,0.8839541179421899,0.9815376901090547,19560199.80030475,-19139503.21192464,4034951.4282787163,21640266.398491487,21641089.533375174,0.013812423357254926,0.0
real,real_tpch,0.1,q7_sja_revenue,SJA,FixedTau,0.2,,60,60,60,60,0,0,0,19207635.65025399,21234671.22912295,20771556.547738317,0.8871008009443456,0.9807190326882178,19599304.72804013,-19207635.65025399,3898650.862756026,21640765.96899574,21641177.53643759,0.01475260500058838,0.0
real,real_tpch,0.1,q7_sja_revenue,SJA,FixedTau,0.5,,60,60,60,60,0,0,0,19248515.11325159,21224035.815349177,20778145.445941992,0.8889888107456388,0.9802278382357157,19624887.859382555,-19248515.11325159,3825034.5656301985,21641065.711298298,21641230.338275034,0.013322898321105897,0.0
real,real_tpch,0.1,q7_sja_revenue,SJA,FixedTau,1.0,,60,60,60,60,0,0,0,19262141.600917466,21220490.677424587,20780341.745343223,0.8896181473460699,0.9800641067515484,19633767.579587206,-19262141.600917466,3801937.7053621705,21641165.625399146,21641247.938887514,0.013392121685319532,0.0
real,real_tpch,0.1,q7_sja_revenue,SJA,FixedTau,2.0,,60,60,60,60,0,0,0,19268954.844750393,21218718.108462293,20781439.89504383,0.8899328156462858,0.9799822410094647,19638273.308886252,-19268954.844750393,3790667.1900187302,21641215.58244957,21641256.739193756,0.01275706499921695,0.0
real,real_tpch,0.1,q7_sja_revenue,SJA,FixedTau,5.0,,60,60,60,60,0,0,0,19273042.79105016,21217654.567084916,20782098.784864202,0.8901216166264149,0.9799331215642144,19640997.807260513,-19273042.79105016,3783994.7726129103,21641245.55667983,21641262.0193775,0.012279488341785752,0.0
real,real_tpch,0.1,q7_sja_revenue,SJA,R2T,0.1,524288.0,10,10,10,10,0,0,0,21652145.5395,21652145.5395,21652145.5395,1.0,1.0,21652145.539499998,-21652145.5395,0.0,21652145.5395,21652145.5395,0.11130883002479093,0.0
real,real_tpch,0.1,q7_sja_revenue,SJA,R2T,0.2,524288.0,10,10,10,10,0,0,0,21651639.126733024,21652145.5395,21652145.5395,0.9999766114279043,1.0,21651639.180033486,-21651639.126733024,1519.238300938904,21652145.5395,21652145.5395,0.11012795000860928,0.0
real,real_tpch,0.1,q7_sja_revenue,SJA,R2T,0.5,524288.0,10,10,10,10,0,0,0,21462506.297638375,21652145.5395,21650717.750402812,0.9912415496415509,1.0,21466438.007258408,-21462506.297638375,410833.4739302683,21652145.5395,21652145.5395,0.11058267998450896,0.0
real,real_tpch,0.1,q7_sja_revenue,SJA,R2T,1.0,524288.0,10,10,10,10,0,0,0,20625340.20580689,21083240.122169543,20916315.39918059,0.9525772015609302,0.973725217378915,20655952.62626348,-20625340.20580689,1124153.1448904397,21640594.041774035,21646211.059995804,0.10908974001358725,0.0
real,real_tpch,0.1,q7_sja_revenue,SJA,R2T,2.0,524288.0,10,10,10,10,0,0,0,14749105.385950858,15000493.551368374,14945425.264040524,0.6811844747230281,0.6927947867338589,14837948.396070892,-14749105.385950858,1621296.678149342,16152130.476848964,16832272.868302792,0.10384560999809762,0.0
real,real_tpch,0.1,q7_sja_revenue,SJA,R2T,5.0,524288.0,10,10,10,10,0,0,0,8392939.352514869,8296540.572567355,8379372.48318366,0.38762622102292976,0.3831740627011757,8438391.318727702,-8392939.352514869,874652.5441489933,9374890.665246146,9706007.007201862,0.1044329200085485,0.0
