data_mode,data_source,scale_factor,query_id,query_type,mechanism,epsilon,gsq,n_runs,n_total,n_valid,n_ok,n_success,n_not_applicable,n_failed,mean_abs_error,median_abs_error,trimmed_mean_abs_error,mean_rel_error,median_rel_error,rmse,bias,std_error,p90_abs_error,p95_abs_error,mean_runtime_sec,timeout_rate
real,real_tpch,0.1,q10_spja_customer_count,SPJA,DirectLaplace,1.0,524288.0,30,30,30,30,0,0,0,440548.5022596133,246578.46557334834,299525.1742202771,116.9494298538926,65.45751674365499,631942.1264179853,44619.79059121518,630364.9144973736,1134373.6646139934,1193806.0033920764,0.014521506677071217,0.0
real,real_tpch,0.1,q10_spja_customer_count,SPJA,FixedTau,1.0,,180,180,180,180,0,0,0,24468.941470718277,2052.4904370168797,5168.758782600074,6.495604319277481,0.5448607478144094,66612.5469778212,2478.27206042516,66566.42984618412,63851.82892856039,112735.37842865048,0.09022255778885055,0.0
real,real_tpch,0.1,q10_spja_customer_count,SPJA,R2T,1.0,524288.0,30,30,30,30,0,0,0,170.4036973654091,96.19544685928054,96.74881810709485,0.04523591647608413,0.02553635435606065,402.84516887855034,-3.519567103501958,402.8297937543743,128.21212955301928,280.345683070384,1.6323196500112924,0.0
real,real_tpch,0.1,q10_spja_customer_count,SPJA,ShiftedInverseCount,1.0,,30,30,0,0,0,30,0,,,,,,,,,,,0.01451880667882502,0.0
real,real_tpch,0.1,q10_spja_customer_count,SPJA,ShiftedInverseSum,1.0,,30,30,0,0,0,30,0,,,,,,,,,,,0.014518200012389503,0.0
real,real_tpch,0.1,q12_sja_count,SJA,DirectLaplace,1.0,524288.0,30,30,30,30,0,0,0,440548.5022596133,246578.46557334834,299525.1742202771,139.63502448799156,78.15482268568886,631942.1264179853,44619.79059121518,630364.9144973736,1134373.6646139934,1193806.0033920764,0.023595986667593594,0.0
real,real_tpch,0.1,q12_sja_count,SJA,FixedTau,1.0,,180,180,180,180,0,0,0,24468.941470718277,2052.4904370168797,5168.758782600074,7.7556074392133985,0.6505516440624025,66612.5469778212,2478.27206042516,66566.42984618412,63851.82892856039,112735.37842865048,0.04389521833315177,0.0
real,real_tpch,0.1,q12_sja_count,SJA,R2T,1.0,524288.0,30,30,30,30,0,0,0,266.0822215288089,203.21887866010798,198.8627131821944,0.08433667877299801,0.06441168895724494,437.38351699530944,-99.19809126690173,425.98600872351375,275.49563124036746,349.34454411870945,0.44716416666827474,0.0
real,real_tpch,0.1,q12_sja_count,SJA,ShiftedInverseCount,1.0,,30,30,30,0,30,0,0,69.95594872649833,69.79456511838907,70.08700327147105,0.022173042385577872,0.022121890687286552,70.1438688702573,-69.95594872649833,5.131040621880245,77.27496401066769,77.80964458810925,0.02406881000303348,0.0
real,real_tpch,0.1,q12_sja_count,SJA,ShiftedInverseSum,1.0,,30,30,0,0,0,30,0,,,,,,,,,,,0.023590600001625703,0.0
