data_mode,data_source,scale_factor,query_id,query_type,mechanism,epsilon,gsq,n_runs,n_total,n_valid,n_ok,n_success,n_not_applicable,n_failed,mean_abs_error,median_abs_error,trimmed_mean_abs_error,mean_rel_error,median_rel_error,rmse,bias,std_error,p90_abs_error,p95_abs_error,mean_runtime_sec,timeout_rate
real,real_tpch,0.01,q10_spja_customer_count,SPJA,DirectLaplace,1.0,524288.0,30,30,30,30,0,0,0,440548.5022596133,246578.46557334834,299525.1742202771,1104.13158461056,617.9911417878404,631942.1264179853,44619.7905912152,630364.9144973736,1134373.6646139934,1193806.0033920764,0.008321496658997254,0.0
real,real_tpch,0.01,q10_spja_customer_count,SPJA,FixedTau,1.0,,180,180,180,180,0,0,0,24468.941470718277,2052.4904370168797,5168.758782600074,61.3256678464117,5.144086308312982,66612.5469778212,2478.27206042516,66566.42984618412,63851.82892856039,112735.37842865048,0.019023312772333108,0.0
real,real_tpch,0.01,q10_spja_customer_count,SPJA,R2T,1.0,524288.0,30,30,30,30,0,0,0,170.4036973654092,96.19544685928062,96.74881810709493,0.4270769357529051,0.24109134551198144,402.84516887855034,-3.5195671035020863,402.82979375437424,128.2121295530195,280.3456830703836,0.23901116665898978,0.0
real,real_tpch,0.01,q10_spja_customer_count,SPJA,ShiftedInverseCount,1.0,,30,30,0,0,0,30,0,,,,,,,,,,,0.008317006662643147,0.0
real,real_tpch,0.01,q10_spja_customer_count,SPJA,ShiftedInverseSum,1.0,,30,30,0,0,0,30,0,,,,,,,,,,,0.008316299994476103,0.0
real,real_tpch,0.01,q12_sja_count,SJA,DirectLaplace,1.0,524288.0,30,30,30,30,0,0,0,440548.5022596133,246578.46557334834,299525.1742202771,1435.01140801177,803.1871842780076,631942.1264179853,44619.7905912152,630364.9144973736,1134373.6646139934,1193806.0033920764,0.004998023324878841,0.0
real,real_tpch,0.01,q12_sja_count,SJA,FixedTau,1.0,,180,180,180,180,0,0,0,24468.941470718277,2052.4904370168797,5168.758782600074,79.7033924127631,6.685636602660846,66612.5469778212,2478.27206042516,66566.42984618412,63851.82892856039,112735.37842865048,0.007806017771266195,0.0
real,real_tpch,0.01,q12_sja_count,SJA,R2T,1.0,524288.0,30,30,30,30,0,0,0,190.20369736540917,118.19544685928062,118.74881810709492,0.6195560174769027,0.3850014555676893,408.02696927823706,-23.319567103502095,407.36004400099023,150.2121295530195,290.2456830703836,0.06187241666678646,0.0
real,real_tpch,0.01,q12_sja_count,SJA,ShiftedInverseCount,1.0,,30,30,30,0,30,0,0,52.97797436324917,52.897282559194494,53.04350163573551,0.17256669173696793,0.17230385198434683,53.04005714645235,-52.97797436324917,2.5655203109401366,56.637482005333865,56.90482229405462,0.005216056658537074,0.0
real,real_tpch,0.01,q12_sja_count,SJA,ShiftedInverseSum,1.0,,30,30,0,0,0,30,0,,,,,,,,,,,0.0049946999934036,0.0
real,real_tpch,0.01,q3_spja_order_count,SPJA,DirectLaplace,1.0,524288.0,30,30,30,30,0,0,0,440548.5022596133,246578.46557334834,299525.1742202771,3192.3804511566186,1786.8004751691906,631942.1264179853,44619.7905912152,630364.9144973736,1134373.6646139934,1193806.0033920764,0.0030957866702616328,0.0
real,real_tpch,0.01,q3_spja_order_count,SPJA,FixedTau,1.0,,180,180,180,180,0,0,0,24468.941470718277,2052.4904370168797,5168.758782600074,177.31117007766866,14.87311910881797,66612.5469778212,2478.27206042516,66566.42984618412,63851.82892856039,112735.37842865048,0.007285856111815875,0.0
real,real_tpch,0.01,q3_spja_order_count,SPJA,R2T,1.0,524288.0,30,30,30,30,0,0,0,199.24508057366023,132.19544685928062,131.45970401339193,1.4438049316931902,0.9579380207194248,410.48081992918424,-32.36095031175316,409.2032165375239,138.0,277.43841207939187,0.09159015333279964,0.0
real,real_tpch,0.01,q3_spja_order_count,SPJA,ShiftedInverseCount,1.0,,30,30,0,0,0,30,0,,,,,,,,,,,0.0030929933360311804,0.0
real,real_tpch,0.01,q3_spja_order_count,SPJA,ShiftedInverseSum,1.0,,30,30,0,0,0,30,0,,,,,,,,,,,0.003092300001298999,0.0
real,real_tpch,0.01,q5_sja_revenue,SJA,DirectLaplace,1.0,524288.0,30,30,30,30,0,0,0,440548.50225961354,246578.46557334834,299525.17422027723,0.1299153427927964,0.0727146403085615,631942.1264179854,44619.790591215235,630364.9144973736,1134373.6646139936,1193806.0033920764,0.004584779978419306,0.0
real,real_tpch,0.01,q5_sja_revenue,SJA,FixedTau,1.0,,180,180,180,180,0,0,0,2397401.3324150266,3049447.853438681,2761089.2452156413,0.7069805352080469,0.8992654864929767,2689267.473352663,-2380339.9240062414,1251455.7081313657,3381921.4156483877,3381989.899850132,0.006370858317273362,0.0
