data_mode,data_source,scale_factor,query_id,query_type,mechanism,epsilon,gsq,n_runs,n_total,n_valid,n_ok,n_success,n_not_applicable,n_failed,mean_abs_error,median_abs_error,trimmed_mean_abs_error,mean_rel_error,median_rel_error,rmse,bias,std_error,p90_abs_error,p95_abs_error,mean_runtime_sec,timeout_rate
real,real_tpch,0.1,q10_spja_customer_count,SPJA,DirectLaplace,1.0,256.0,10,10,10,10,0,0,0,221.21773544588305,186.20927844677067,187.72897099323245,0.05872517532409952,0.0494317171347944,275.1540429442579,119.79329816148666,247.70812070693947,439.44478647330186,496.4329211899656,0.04057218997040758,0.0
real,real_tpch,0.1,q10_spja_customer_count,SPJA,DirectLaplace,1.0,512.0,10,10,10,10,0,0,0,442.4354708917661,372.41855689354134,375.4579419864649,0.11745035064819906,0.0988634342695888,550.3080858885156,239.58659632297332,495.41624141387877,878.8895729466036,992.8658423799309,0.01076488999242423,0.0
real,real_tpch,0.1,q10_spja_customer_count,SPJA,DirectLaplace,1.0,1024.0,10,10,10,10,0,0,0,884.8709417835322,744.8371137870827,750.9158839729298,0.23490070129639823,0.1977268685391777,1100.6161717770315,479.17319264594664,990.8324828277575,1757.779145893208,1985.7316847598618,0.01097294000210235,0.0
real,real_tpch,0.1,q10_spja_customer_count,SPJA,DirectLaplace,1.0,4096.0,10,10,10,10,0,0,0,3539.4837671341293,2979.3484551483316,3003.6635358917197,0.9396028051855932,0.7909074741567114,4402.464687108127,1916.6927705837873,3963.329931311031,7031.1165835728325,7942.926739039448,0.01357250000291966,0.0
real,real_tpch,0.1,q10_spja_customer_count,SPJA,DirectLaplace,1.0,16384.0,10,10,10,10,0,0,0,14157.935068536517,11917.393820593326,12014.654143566879,3.758411220742373,3.163629896626845,17609.858748432507,7666.771082335149,15853.319725244124,28124.46633429133,31771.706956157792,0.0115698800043901,0.0
real,real_tpch,0.1,q10_spja_customer_count,SPJA,DirectLaplace,1.0,65536.0,10,10,10,10,0,0,0,56631.74027414607,47669.575282373306,48058.616574267515,15.033644882969492,12.65451958650738,70439.43499373003,30667.084329340596,63413.2789009765,112497.86533716532,127086.82782463117,0.04367728999641254,0.0
real,real_tpch,0.1,q10_spja_customer_count,SPJA,DirectLaplace,1.0,262144.0,10,10,10,10,0,0,0,226526.96109658427,190678.30112949322,192234.46629707006,60.13457953187797,50.61807834602952,281757.7399749201,122668.33731736238,253653.115603906,449991.4613486613,508347.31129852467,0.00942007998819459,0.0
real,real_tpch,0.1,q10_spja_customer_count,SPJA,DirectLaplace,1.0,524288.0,10,10,10,10,0,0,0,453053.92219316855,381356.60225898644,384468.9325941401,120.26915906375591,101.23615669205904,563515.4799498402,245336.67463472477,507306.231207812,899982.9226973226,1016694.6225970493,0.01183058997557958,0.0
real,real_tpch,0.1,q10_spja_customer_count,SPJA,DirectLaplace,1.0,1048576.0,10,10,10,10,0,0,0,906107.8443863371,762713.2045179729,768937.8651882802,240.53831812751187,202.47231338411808,1127030.9598996805,490673.34926944954,1014612.462415624,1799965.8453946451,2033389.2451940987,0.01028003001119938,0.0
real,real_tpch,0.1,q10_spja_customer_count,SPJA,FixedTau,1.0,256.0,60,60,60,60,0,0,0,25163.5174069692,2752.9118869619633,6255.2479642252165,6.679988693116327,0.7307968906190505,59399.74534323096,13626.48766586911,57815.64304522267,72416.40960855965,115714.99848058388,0.10175351830597108,0.0
